Step Temp Press 
       0            1    0.0099975 
     100    1.0000001 0.0099974718 
     200    1.0037098 0.0099914669 
     300     1.025356  0.010078656 
     400    1.0290138 0.0099995713 
     500    1.0343648  0.010167783 
     600     1.034372  0.010122978 
     700    1.0345838  0.010160927 
     800    1.0348236  0.010051286 
     900    1.0363473  0.010123449 
    1000    1.0379549 0.0099662452 
    1100    1.0384284  0.010143056 
    1200    1.0425053    0.0100983 
    1300    1.0389957   0.01004898 
    1400    1.0422679 0.0099896295 
    1500    1.0377201  0.010056237 
    1600    1.0409096  0.010000494 
    1700    1.0442435  0.010182675 
    1800    1.0435829 0.0099993601 
    1900    1.0428258  0.010092922 
    2000    1.0442476  0.010118933 
    2100    1.0449341  0.010058796 
    2200    1.0463963  0.010102772 
    2300    1.0478486 0.0099847575 
    2400    1.0451106  0.009957497 
    2500    1.0462428  0.010068978 
    2600    1.0477605  0.010002805 
    2700    1.0454041 0.0099274468 
    2800    1.0454548  0.010078038 
    2900    1.0420319 0.0099273658 
    3000    1.0446662  0.010050946 
    3100     1.043175  0.010212344 
    3200    1.0487203   0.01012516 
    3300    1.0484037  0.010242968 
    3400    1.0492773  0.010123453 
    3500    1.0469783  0.010026992 
    3600    1.0429616  0.010256006 
    3700     1.043553  0.010136987 
    3800    1.0487941  0.010122948 
    3900    1.0472063  0.009970499 
    4000    1.0475549   0.01020902 
    4100    1.0501452  0.010047789 
    4200    1.0487851  0.010179827 
    4300    1.0498576  0.010091096 
    4400    1.0445982  0.010202254 
    4500    1.0444317  0.010370542 
    4600    1.0479912  0.010002848 
    4700    1.0475704 0.0099518206 
    4800    1.0506212  0.010270828 
    4900    1.0504042  0.010086279 
    5000    1.0474413  0.010166541 
