Step Temp msd[4] 
       0            1 2.159838e-25 
     100    1.0000001    0.7498125 
     200    1.0037098    3.0001748 
     300     1.025356    6.7042034 
     400    1.0290138    11.792858 
     500    1.0343648    18.267047 
     600     1.034372    26.067827 
     700    1.0345838    35.105559 
     800    1.0348236    45.345633 
     900    1.0363473    56.788435 
    1000    1.0379549    69.357572 
    1100    1.0384284     83.04334 
    1200    1.0425053    97.682708 
    1300    1.0389957    113.31836 
    1400    1.0422679    129.99705 
    1500    1.0377201    147.66721 
    1600    1.0409096    166.42301 
    1700    1.0442435     186.2175 
    1800    1.0435829    206.94857 
    1900    1.0428258    228.54518 
    2000    1.0442476    251.02793 
    2100    1.0449341    274.12307 
    2200    1.0463963    297.82653 
    2300    1.0478486    322.10081 
    2400    1.0451106    347.10875 
    2500    1.0462428    372.79618 
    2600    1.0477605    399.08476 
    2700    1.0454041    426.00393 
    2800    1.0454548    453.55734 
    2900    1.0420319    481.80058 
    3000    1.0446662    510.79807 
    3100     1.043175    540.23625 
    3200    1.0487203    570.30057 
    3300    1.0484037     600.8626 
    3400    1.0492773    631.89589 
    3500    1.0469783     663.3951 
    3600    1.0429616    695.41896 
    3700     1.043553    727.76946 
    3800    1.0487941    760.51361 
    3900    1.0472063    793.68331 
    4000    1.0475549    827.25644 
    4100    1.0501452    861.19533 
    4200    1.0487851    895.54536 
    4300    1.0498576    930.18298 
    4400    1.0445982     965.1272 
    4500    1.0444317    1000.3945 
    4600    1.0479912    1035.8553 
    4700    1.0475704    1071.9344 
    4800    1.0506212    1108.3718 
    4900    1.0504042    1145.0135 
    5000    1.0474413    1182.0886 
