Step Temp KinEng PotEng TotEng Press Volume Atoms 
       0          2.5    3.7490625            0    3.7490625   0.02499375       400000     4000 
     100    2.5004057    3.7496709 -0.0010269947    3.7486439  0.024977429       400000     4000 
     200    2.5244504    3.7857289 -0.038765606    3.7469633  0.025397011       400000     4000 
     300    2.5317778    3.7967173 -0.050251774    3.7464656  0.025198252       400000     4000 
     400    2.5272226    3.7898861 -0.043622377    3.7462637  0.025567372       400000     4000 
     500    2.5295476    3.7933729 -0.047263659    3.7461092  0.025325266       400000     4000 
     600    2.5311621     3.795794 -0.049688566    3.7461054  0.025433131       400000     4000 
     700    2.5318219    3.7967835 -0.050686604    3.7460969  0.025397632       400000     4000 
     800    2.5372618    3.8049412 -0.058983634    3.7459576  0.025449969       400000     4000 
     900    2.5356637    3.8025446 -0.056526982    3.7460177  0.025433609       400000     4000 
    1000     2.537425    3.8051859 -0.059174334    3.7460116  0.025231933       400000     4000 
    1100     2.534844    3.8013154 -0.055418026    3.7458974  0.025298661       400000     4000 
    1200    2.5327697    3.7982047 -0.052334328    3.7458704  0.025449849       400000     4000 
    1300    2.5344688    3.8007527 -0.054820637    3.7459321  0.025268373       400000     4000 
    1400    2.5374592    3.8052373 -0.059286411    3.7459509  0.025286323       400000     4000 
    1500    2.5336081    3.7994621 -0.053422725    3.7460394  0.025309838       400000     4000 
    1600    2.5332835    3.7989753 -0.052954819    3.7460205  0.025170891       400000     4000 
    1700    2.5327296    3.7981446 -0.052091861    3.7460527  0.025155616       400000     4000 
    1800     2.536209    3.8033624 -0.057417158    3.7459453  0.025568883       400000     4000 
    1900    2.5385609    3.8068894 -0.061081035    3.7458084  0.025313055       400000     4000 
    2000    2.5366696    3.8040532 -0.058202173     3.745851  0.025222789       400000     4000 
    2100    2.5343475    3.8005709 -0.054691804    3.7458791  0.025144169       400000     4000 
    2200     2.534907    3.8014099 -0.055537143    3.7458727   0.02515093       400000     4000 
    2300     2.532494    3.7977913 -0.051929769    3.7458615  0.025502454       400000     4000 
    2400     2.538686     3.807077 -0.061186853    3.7458902   0.02530689       400000     4000 
    2500    2.5383621    3.8065912  -0.06074534    3.7458459  0.025267485       400000     4000 
    2600    2.5375881    3.8054305 -0.059523365    3.7459071  0.025148657       400000     4000 
    2700    2.5356681    3.8025513  -0.05667983    3.7458715    0.0252789       400000     4000 
    2800     2.537233     3.804898 -0.059032336    3.7458657   0.02530326       400000     4000 
    2900    2.5357867    3.8027291 -0.056772428    3.7459567  0.025295348       400000     4000 
    3000    2.5353562    3.8020836 -0.056057456    3.7460261  0.025155407       400000     4000 
    3100    2.5340995     3.800199 -0.054258423    3.7459405  0.025515109       400000     4000 
    3200    2.5335392    3.7993588 -0.053399348    3.7459594  0.025310676       400000     4000 
    3300    2.5348537    3.8013301 -0.055316844    3.7460132  0.025256351       400000     4000 
    3400    2.5363982    3.8036462 -0.057763229     3.745883  0.025341349       400000     4000 
    3500    2.5332091    3.7988637 -0.052956393    3.7459073  0.025394422       400000     4000 
    3600    2.5364925    3.8037876 -0.057755808    3.7460318  0.025202896       400000     4000 
    3700    2.5366106    3.8039646 -0.057939682    3.7460249  0.025223672       400000     4000 
    3800    2.5309909    3.7955373 -0.049509511    3.7460278  0.025655905       400000     4000 
    3900      2.53696    3.8044886 -0.058590854    3.7458977  0.025226026       400000     4000 
    4000    2.5370974    3.8046947 -0.058812605    3.7458821  0.025322669       400000     4000 
    4100    2.5368869     3.804379 -0.058485336    3.7458937  0.025120168       400000     4000 
    4200    2.5372791    3.8049672 -0.059112961    3.7458542  0.025374813       400000     4000 
    4300    2.5335814    3.7994221 -0.053363111     3.746059  0.025271228       400000     4000 
    4400    2.5366116    3.8039661 -0.057984526    3.7459816  0.025134634       400000     4000 
    4500    2.5357728    3.8027083 -0.056841129    3.7458672  0.025441996       400000     4000 
    4600    2.5379705    3.8060041 -0.060066936    3.7459371  0.025313721       400000     4000 
    4700    2.5353007    3.8020004 -0.056075905    3.7459245  0.025320508       400000     4000 
    4800    2.5349908    3.8015356 -0.055493346    3.7460423  0.025474486       400000     4000 
    4900    2.5355745     3.802411 -0.056400672    3.7460103  0.025290606       400000     4000 
    5000    2.5337797    3.7997194 -0.053708849    3.7460106  0.025434936       400000     4000 
